Run,Streak Target,Flips Required
1,1,0
1,2,3
1,3,3
1,4,19
1,5,43
1,6,70
1,7,93
1,8,53
1,9,376
1,10,500
1,11,123
1,12,4096
1,13,1510
1,14,28658
1,15,28778
1,16,51295
1,17,110171
1,18,435853
1,19,1141308
1,20,3182709
2,1,0
2,2,2
2,3,5
2,4,33
2,5,40
2,6,16
2,7,41
2,8,244
2,9,229
2,10,2185
2,11,1372
2,12,2773
2,13,9647
2,14,15101
2,15,29035
2,16,20615
2,17,74852
2,18,1027604
2,19,39997
2,20,1355791
3,1,0
3,2,1
3,3,2
3,4,14
3,5,54
3,6,30
3,7,69
3,8,247
3,9,229
3,10,184
3,11,915
3,12,10297
3,13,12354
3,14,3712
3,15,86957
3,16,126568
3,17,68515
3,18,70670
3,19,1676371
3,20,2702484
4,1,0
4,2,3
4,3,8
4,4,16
4,5,79
4,6,135
4,7,374
4,8,44
4,9,511
4,10,48
4,11,362
4,12,3082
4,13,1950
4,14,45396
4,15,25485
4,16,95614
4,17,132865
4,18,913996
4,19,91970
4,20,220117
5,1,0
5,2,2
5,3,3
5,4,9
5,5,18
5,6,120
5,7,96
5,8,297
5,9,343
5,10,233
5,11,563
5,12,1318
5,13,1982
5,14,40886
5,15,48584
5,16,83291
5,17,97411
5,18,123731
5,19,370220
5,20,2133303
6,1,0
6,2,5
6,3,21
6,4,26
6,5,21
6,6,46
6,7,25
6,8,324
6,9,296
6,10,699
6,11,726
6,12,3005
6,13,4434
6,14,18742
6,15,39436
6,16,213847
6,17,148959
6,18,132511
6,19,604403
6,20,1028907
7,1,0
7,2,1
7,3,3
7,4,11
7,5,47
7,6,91
7,7,240
7,8,377
7,9,31
7,10,1595
7,11,8174
7,12,9571
7,13,23120
7,14,5584
7,15,6114
7,16,58744
7,17,289626
7,18,229422
7,19,1315169
7,20,147524
8,1,0
8,2,1
8,3,2
8,4,28
8,5,115
8,6,69
8,7,40
8,8,64
8,9,1141
8,10,2485
8,11,2026
8,12,11671
8,13,2333
8,14,25236
8,15,28151
8,16,5414
8,17,53101
8,18,294448
8,19,2158776
8,20,965556
9,1,0
9,2,1
9,3,2
9,4,6
9,5,7
9,6,29
9,7,128
9,8,574
9,9,33
9,10,152
9,11,873
9,12,3643
9,13,6528
9,14,74556
9,15,30923
9,16,68119
9,17,116479
9,18,7172
9,19,431888
9,20,245662
10,1,0
10,2,1
10,3,4
10,4,7
10,5,5
10,6,9
10,7,176
10,8,208
10,9,368
10,10,198
10,11,3701
10,12,1219
10,13,7473
10,14,15607
10,15,2596
10,16,106327
10,17,221159
10,18,156628
10,19,1431332
10,20,4336807
11,1,0
11,2,3
11,3,9
11,4,43
11,5,51
11,6,13
11,7,234
11,8,494
11,9,579
11,10,1438
11,11,2104
11,12,2687
11,13,14128
11,14,240
11,15,3338
11,16,32076
11,17,56904
11,18,106032
11,19,207657
11,20,421864
12,1,0
12,2,2
12,3,4
12,4,58
12,5,14
12,6,27
12,7,38
12,8,249
12,9,102
12,10,614
12,11,1979
12,12,2017
12,13,21058
12,14,2128
12,15,78783
12,16,229501
12,17,77018
12,18,139835
12,19,124781
12,20,464298
13,1,0
13,2,2
13,3,5
13,4,3
13,5,17
13,6,15
13,7,24
13,8,153
13,9,114
13,10,90
13,11,613
13,12,1798
13,13,5872
13,14,3523
13,15,19025
13,16,28655
13,17,206667
13,18,636275
13,19,203317
13,20,431755
14,1,0
14,2,1
14,3,4
14,4,3
14,5,28
14,6,81
14,7,121
14,8,108
14,9,27
14,10,616
14,11,85
14,12,3207
14,13,36235
14,14,9202
14,15,1654
14,16,4084
14,17,3617
14,18,14711
14,19,326156
14,20,823046
15,1,0
15,2,1
15,3,11
15,4,12
15,5,44
15,6,76
15,7,79
15,8,592
15,9,78
15,10,3023
15,11,1659
15,12,64
15,13,3042
15,14,9435
15,15,50820
15,16,7815
15,17,18391
15,18,166223
15,19,794623
15,20,1118038
16,1,0
16,2,2
16,3,19
16,4,7
16,5,4
16,6,5
16,7,605
16,8,44
16,9,524
16,10,725
16,11,337
16,12,10217
16,13,746
16,14,21627
16,15,62958
16,16,9858
