Total Runs,Current Run,Streak Target,Flips Required,Theoretical Flips,Absolute Difference,Percentage Difference
88,10,15,64204,32768,31436,95.93505859375
88,11,1,0,2,-2,-100.0
88,11,2,1,4,-3,-75.0
88,11,3,3,8,-5,-62.5
88,11,4,5,16,-11,-68.75
88,11,5,15,32,-17,-53.125
88,11,6,182,64,118,184.375
88,11,7,187,128,59,46.09375
88,11,8,186,256,-70,-27.34375
88,11,9,608,512,96,18.75
88,11,10,32,1024,-992,-96.875
88,11,11,929,2048,-1119,-54.638671875
88,11,12,658,4096,-3438,-83.935546875
88,11,13,918,8192,-7274,-88.7939453125
88,11,14,23719,16384,7335,44.769287109375
88,11,15,16640,32768,-16128,-49.21875
88,12,1,0,2,-2,-100.0
88,12,2,1,4,-3,-75.0
88,12,3,2,8,-6,-75.0
88,12,4,3,16,-13,-81.25
88,12,5,36,32,4,12.5
88,12,6,142,64,78,121.875
88,12,7,314,128,186,145.3125
88,12,8,122,256,-134,-52.34375
88,12,9,118,512,-394,-76.953125
88,12,10,607,1024,-417,-40.72265625
88,12,11,544,2048,-1504,-73.4375
88,12,12,1019,4096,-3077,-75.1220703125
88,12,13,8109,8192,-83,-1.01318359375
88,12,14,36633,16384,20249,123.590087890625
88,12,15,39052,32768,6284,19.17724609375
88,13,1,0,2,-2,-100.0
88,13,2,1,4,-3,-75.0
88,13,3,7,8,-1,-12.5
88,13,4,4,16,-12,-75.0
88,13,5,24,32,-8,-25.0
88,13,6,9,64,-55,-85.9375
88,13,7,228,128,100,78.125
88,13,8,1466,256,1210,472.65625
88,13,9,161,512,-351,-68.5546875
88,13,10,613,1024,-411,-40.13671875
88,13,11,3945,2048,1897,92.626953125
88,13,12,11247,4096,7151,174.5849609375
88,13,13,155,8192,-8037,-98.10791015625
88,13,14,8838,16384,-7546,-46.05712890625
88,13,15,127411,32768,94643,288.8275146484375
88,14,1,0,2,-2,-100.0
88,14,2,1,4,-3,-75.0
88,14,3,6,8,-2,-25.0
88,14,4,30,16,14,87.5
88,14,5,24,32,-8,-25.0
88,14,6,75,64,11,17.1875
88,14,7,157,128,29,22.65625
88,14,8,37,256,-219,-85.546875
88,14,9,509,512,-3,-0.5859375
88,14,10,226,1024,-798,-77.9296875
88,14,11,640,2048,-1408,-68.75
88,14,12,23237,4096,19141,467.3095703125
88,14,13,9199,8192,1007,12.29248046875
88,14,14,7430,16384,-8954,-54.65087890625
88,14,15,46888,32768,14120,43.0908203125
88,15,1,0,2,-2,-100.0
88,15,2,1,4,-3,-75.0
88,15,3,4,8,-4,-50.0
88,15,4,6,16,-10,-62.5
88,15,5,23,32,-9,-28.125
88,15,6,6,64,-58,-90.625
88,15,7,103,128,-25,-19.53125
