Total Runs,Current Run,Streak Target,Flips Required,Theoretical Flips,Absolute Difference,Percentage Difference
1,1,1,0,2,-2,-100.0
1,1,2,4,4,0,0.0
1,1,3,14,8,6,75.0
1,1,4,25,16,9,56.25
1,1,5,44,32,12,37.5
1,1,6,33,64,-31,-48.4375
1,1,7,220,128,92,71.875
1,1,8,51,256,-205,-80.078125
1,1,9,784,512,272,53.125
1,1,10,845,1024,-179,-17.48046875
1,1,11,184,2048,-1864,-91.015625
1,1,12,1234,4096,-2862,-69.873046875
1,1,13,4368,8192,-3824,-46.6796875
1,1,14,38677,16384,22293,136.065673828125
1,1,15,1118,32768,-31650,-96.588134765625
2,1,1,0,2,-2,-100.0
2,1,2,1,4,-3,-75.0
2,1,3,5,8,-3,-37.5
2,1,4,5,16,-11,-68.75
2,1,5,22,32,-10,-31.25
2,1,6,35,64,-29,-45.3125
2,1,7,54,128,-74,-57.8125
2,1,8,84,256,-172,-67.1875
2,1,9,1744,512,1232,240.625
2,1,10,1555,1024,531,51.85546875
2,1,11,1400,2048,-648,-31.640625
2,1,12,545,4096,-3551,-86.6943359375
2,1,13,7734,8192,-458,-5.5908203125
2,1,14,6480,16384,-9904,-60.44921875
2,1,15,18871,32768,-13897,-42.4102783203125
2,2,1,0,2,-2,-100.0
2,2,2,4,4,0,0.0
2,2,3,16,8,8,100.0
2,2,4,15,16,-1,-6.25
2,2,5,37,32,5,15.625
2,2,6,43,64,-21,-32.8125
2,2,7,82,128,-46,-35.9375
2,2,8,92,256,-164,-64.0625
2,2,9,53,512,-459,-89.6484375
2,2,10,447,1024,-577,-56.34765625
2,2,11,2088,2048,40,1.953125
2,2,12,1972,4096,-2124,-51.85546875
2,2,13,36312,8192,28120,343.26171875
2,2,14,31334,16384,14950,91.24755859375
2,2,15,73025,32768,40257,122.8546142578125
3,1,1,0,2,-2,-100.0
3,1,2,1,4,-3,-75.0
3,1,3,8,8,0,0.0
3,1,4,17,16,1,6.25
3,1,5,13,32,-19,-59.375
3,1,6,7,64,-57,-89.0625
3,1,7,151,128,23,17.96875
3,1,8,37,256,-219,-85.546875
3,1,9,139,512,-373,-72.8515625
3,1,10,242,1024,-782,-76.3671875
3,1,11,180,2048,-1868,-91.2109375
3,1,12,2531,4096,-1565,-38.2080078125
3,1,13,11072,8192,2880,35.15625
3,1,14,2235,16384,-14149,-86.358642578125
3,1,15,19915,32768,-12853,-39.2242431640625
3,2,1,0,2,-2,-100.0
3,2,2,2,4,-2,-50.0
3,2,3,3,8,-5,-62.5
3,2,4,21,16,5,31.25
3,2,5,26,32,-6,-18.75
3,2,6,21,64,-43,-67.1875
3,2,7,58,128,-70,-54.6875
3,2,8,34,256,-222,-86.71875
3,2,9,234,512,-278,-54.296875
3,2,10,216,1024,-808,-78.90625
3,2,11,874,2048,-1174,-57.32421875
3,2,12,1407,4096,-2689,-65.6494140625
3,2,13,10691,8192,2499,30.50537109375
3,2,14,11668,16384,-4716,-28.7841796875
3,2,15,53034,32768,20266,61.846923828125
3,3,1,0,2,-2,-100.0
3,3,2,11,4,7,175.0
3,3,3,4,8,-4,-50.0
3,3,4,6,16,-10,-62.5
3,3,5,5,32,-27,-84.375
3,3,6,40,64,-24,-37.5
3,3,7,103,128,-25,-19.53125
3,3,8,410,256,154,60.15625
3,3,9,248,512,-264,-51.5625
3,3,10,259,1024,-765,-74.70703125
3,3,11,1896,2048,-152,-7.421875
3,3,12,4457,4096,361,8.8134765625
3,3,13,2868,8192,-5324,-64.990234375
3,3,14,19229,16384,2845,17.364501953125
3,3,15,42585,32768,9817,29.9591064453125
4,1,1,0,2,-2,-100.0
4,1,2,2,4,-2,-50.0
4,1,3,2,8,-6,-75.0
4,1,4,22,16,6,37.5
4,1,5,5,32,-27,-84.375
4,1,6,55,64,-9,-14.0625
4,1,7,339,128,211,164.84375
4,1,8,209,256,-47,-18.359375
4,1,9,459,512,-53,-10.3515625
4,1,10,707,1024,-317,-30.95703125
4,1,11,2558,2048,510,24.90234375
4,1,12,3926,4096,-170,-4.150390625
4,1,13,3120,8192,-5072,-61.9140625
4,1,14,7866,16384,-8518,-51.98974609375
4,1,15,55009,32768,22241,67.8741455078125
4,2,1,0,2,-2,-100.0
4,2,2,1,4,-3,-75.0
4,2,3,6,8,-2,-25.0
4,2,4,5,16,-11,-68.75
4,2,5,13,32,-19,-59.375
4,2,6,100,64,36,56.25
4,2,7,134,128,6,4.6875
4,2,8,238,256,-18,-7.03125
4,2,9,294,512,-218,-42.578125
4,2,10,773,1024,-251,-24.51171875
4,2,11,242,2048,-1806,-88.18359375
4,2,12,455,4096,-3641,-88.8916015625
4,2,13,7133,8192,-1059,-12.92724609375
4,2,14,974,16384,-15410,-94.05517578125
4,2,15,66656,32768,33888,103.41796875
4,3,1,0,2,-2,-100.0
4,3,2,1,4,-3,-75.0
4,3,3,2,8,-6,-75.0
4,3,4,3,16,-13,-81.25
4,3,5,129,32,97,303.125
4,3,6,38,64,-26,-40.625
4,3,7,92,128,-36,-28.125
4,3,8,90,256,-166,-64.84375
4,3,9,508,512,-4,-0.78125
4,3,10,1229,1024,205,20.01953125
4,3,11,4336,2048,2288,111.71875
4,3,12,2360,4096,-1736,-42.3828125
4,3,13,1813,8192,-6379,-77.86865234375
4,3,14,11109,16384,-5275,-32.196044921875
4,3,15,15678,32768,-17090,-52.154541015625
4,4,1,0,2,-2,-100.0
4,4,2,3,4,-1,-25.0
4,4,3,6,8,-2,-25.0
4,4,4,3,16,-13,-81.25
4,4,5,23,32,-9,-28.125
4,4,6,32,64,-32,-50.0
4,4,7,250,128,122,95.3125
4,4,8,17,256,-239,-93.359375
4,4,9,273,512,-239,-46.6796875
4,4,10,55,1024,-969,-94.62890625
4,4,11,5365,2048,3317,161.962890625
4,4,12,4527,4096,431,10.5224609375
4,4,13,13742,8192,5550,67.7490234375
4,4,14,3337,16384,-13047,-79.632568359375
4,4,15,43153,32768,10385,31.6925048828125
5,1,1,0,2,-2,-100.0
5,1,2,5,4,1,25.0
5,1,3,2,8,-6,-75.0
5,1,4,13,16,-3,-18.75
5,1,5,71,32,39,121.875
5,1,6,92,64,28,43.75
5,1,7,10,128,-118,-92.1875
5,1,8,340,256,84,32.8125
5,1,9,307,512,-205,-40.0390625
5,1,10,2341,1024,1317,128.61328125
5,1,11,1281,2048,-767,-37.451171875
5,1,12,2331,4096,-1765,-43.0908203125
5,1,13,4092,8192,-4100,-50.048828125
5,1,14,4960,16384,-11424,-69.7265625
5,1,15,29736,32768,-3032,-9.2529296875
5,2,1,0,2,-2,-100.0
5,2,2,5,4,1,25.0
5,2,3,2,8,-6,-75.0
5,2,4,8,16,-8,-50.0
5,2,5,33,32,1,3.125
5,2,6,122,64,58,90.625
5,2,7,36,128,-92,-71.875
5,2,8,339,256,83,32.421875
5,2,9,229,512,-283,-55.2734375
5,2,10,255,1024,-769,-75.09765625
5,2,11,1445,2048,-603,-29.443359375
5,2,12,1345,4096,-2751,-67.1630859375
5,2,13,4008,8192,-4184,-51.07421875
5,2,14,12670,16384,-3714,-22.66845703125
5,2,15,7533,32768,-25235,-77.0111083984375
5,3,1,0,2,-2,-100.0
5,3,2,3,4,-1,-25.0
5,3,3,21,8,13,162.5
5,3,4,11,16,-5,-31.25
5,3,5,39,32,7,21.875
5,3,6,109,64,45,70.3125
5,3,7,348,128,220,171.875
5,3,8,7,256,-249,-97.265625
5,3,9,312,512,-200,-39.0625
5,3,10,2933,1024,1909,186.42578125
5,3,11,4156,2048,2108,102.9296875
5,3,12,66,4096,-4030,-98.388671875
5,3,13,12507,8192,4315,52.67333984375
5,3,14,3635,16384,-12749,-77.813720703125
5,3,15,8127,32768,-24641,-75.1983642578125
5,4,1,0,2,-2,-100.0
5,4,2,1,4,-3,-75.0
5,4,3,9,8,1,12.5
5,4,4,6,16,-10,-62.5
5,4,5,5,32,-27,-84.375
5,4,6,19,64,-45,-70.3125
5,4,7,109,128,-19,-14.84375
5,4,8,99,256,-157,-61.328125
5,4,9,56,512,-456,-89.0625
5,4,10,1833,1024,809,79.00390625
5,4,11,4884,2048,2836,138.4765625
5,4,12,2012,4096,-2084,-50.87890625
5,4,13,6483,8192,-1709,-20.86181640625
5,4,14,717,16384,-15667,-95.623779296875
5,4,15,26883,32768,-5885,-17.9595947265625
5,5,1,0,2,-2,-100.0
5,5,2,1,4,-3,-75.0
5,5,3,3,8,-5,-62.5
5,5,4,8,16,-8,-50.0
5,5,5,4,32,-28,-87.5
5,5,6,16,64,-48,-75.0
5,5,7,52,128,-76,-59.375
5,5,8,97,256,-159,-62.109375
5,5,9,77,512,-435,-84.9609375
5,5,10,106,1024,-918,-89.6484375
5,5,11,2156,2048,108,5.2734375
5,5,12,2269,4096,-1827,-44.6044921875
5,5,13,5360,8192,-2832,-34.5703125
5,5,14,1568,16384,-14816,-90.4296875
5,5,15,33805,32768,1037,3.1646728515625
6,1,1,0,2,-2,-100.0
6,1,2,2,4,-2,-50.0
6,1,3,4,8,-4,-50.0
6,1,4,84,16,68,425.0
6,1,5,16,32,-16,-50.0
6,1,6,18,64,-46,-71.875
6,1,7,304,128,176,137.5
6,1,8,64,256,-192,-75.0
6,1,9,175,512,-337,-65.8203125
6,1,10,951,1024,-73,-7.12890625
6,1,11,2758,2048,710,34.66796875
6,1,12,5813,4096,1717,41.9189453125
6,1,13,24542,8192,16350,199.5849609375
6,1,14,23401,16384,7017,42.828369140625
6,1,15,81953,32768,49185,150.1007080078125
6,2,1,0,2,-2,-100.0
6,2,2,1,4,-3,-75.0
6,2,3,8,8,0,0.0
6,2,4,4,16,-12,-75.0
6,2,5,43,32,11,34.375
6,2,6,41,64,-23,-35.9375
6,2,7,127,128,-1,-0.78125
6,2,8,523,256,267,104.296875
6,2,9,714,512,202,39.453125
6,2,10,269,1024,-755,-73.73046875
6,2,11,214,2048,-1834,-89.55078125
6,2,12,4250,4096,154,3.759765625
6,2,13,7880,8192,-312,-3.80859375
6,2,14,9673,16384,-6711,-40.960693359375
6,2,15,585,32768,-32183,-98.2147216796875
6,3,1,0,2,-2,-100.0
6,3,2,1,4,-3,-75.0
6,3,3,3,8,-5,-62.5
6,3,4,28,16,12,75.0
6,3,5,23,32,-9,-28.125
6,3,6,254,64,190,296.875
6,3,7,168,128,40,31.25
6,3,8,146,256,-110,-42.96875
6,3,9,402,512,-110,-21.484375
6,3,10,2266,1024,1242,121.2890625
6,3,11,4506,2048,2458,120.01953125
6,3,12,6877,4096,2781,67.8955078125
6,3,13,3022,8192,-5170,-63.1103515625
6,3,14,16277,16384,-107,-0.653076171875
6,3,15,33326,32768,558,1.702880859375
6,4,1,0,2,-2,-100.0
6,4,2,1,4,-3,-75.0
6,4,3,8,8,0,0.0
6,4,4,11,16,-5,-31.25
6,4,5,38,32,6,18.75
6,4,6,18,64,-46,-71.875
6,4,7,45,128,-83,-64.84375
6,4,8,47,256,-209,-81.640625
6,4,9,107,512,-405,-79.1015625
6,4,10,621,1024,-403,-39.35546875
6,4,11,584,2048,-1464,-71.484375
6,4,12,3164,4096,-932,-22.75390625
6,4,13,5011,8192,-3181,-38.83056640625
6,4,14,2188,16384,-14196,-86.6455078125
6,4,15,2495,32768,-30273,-92.3858642578125
6,5,1,0,2,-2,-100.0
6,5,2,1,4,-3,-75.0
6,5,3,4,8,-4,-50.0
6,5,4,6,16,-10,-62.5
6,5,5,14,32,-18,-56.25
6,5,6,146,64,82,128.125
6,5,7,57,128,-71,-55.46875
6,5,8,326,256,70,27.34375
6,5,9,153,512,-359,-70.1171875
6,5,10,116,1024,-908,-88.671875
6,5,11,605,2048,-1443,-70.458984375
6,5,12,14029,4096,9933,242.5048828125
6,5,13,7584,8192,-608,-7.421875
6,5,14,9173,16384,-7211,-44.012451171875
6,5,15,46196,32768,13428,40.97900390625
6,6,1,0,2,-2,-100.0
6,6,2,1,4,-3,-75.0
6,6,3,2,8,-6,-75.0
6,6,4,3,16,-13,-81.25
6,6,5,20,32,-12,-37.5
6,6,6,11,64,-53,-82.8125
6,6,7,71,128,-57,-44.53125
6,6,8,23,256,-233,-91.015625
6,6,9,301,512,-211,-41.2109375
6,6,10,310,1024,-714,-69.7265625
6,6,11,81,2048,-1967,-96.044921875
6,6,12,5959,4096,1863,45.4833984375
6,6,13,9876,8192,1684,20.556640625
6,6,14,3304,16384,-13080,-79.833984375
6,6,15,2507,32768,-30261,-92.3492431640625
7,1,1,0,2,-2,-100.0
7,1,2,1,4,-3,-75.0
7,1,3,4,8,-4,-50.0
7,1,4,11,16,-5,-31.25
7,1,5,10,32,-22,-68.75
7,1,6,142,64,78,121.875
7,1,7,153,128,25,19.53125
7,1,8,36,256,-220,-85.9375
7,1,9,104,512,-408,-79.6875
7,1,10,1337,1024,313,30.56640625
7,1,11,2801,2048,753,36.767578125
7,1,12,8337,4096,4241,103.5400390625
7,1,13,8995,8192,803,9.80224609375
7,1,14,13788,16384,-2596,-15.8447265625
7,1,15,24769,32768,-7999,-24.4110107421875
7,2,1,0,2,-2,-100.0
7,2,2,1,4,-3,-75.0
7,2,3,8,8,0,0.0
7,2,4,4,16,-12,-75.0
7,2,5,9,32,-23,-71.875
7,2,6,108,64,44,68.75
7,2,7,27,128,-101,-78.90625
7,2,8,53,256,-203,-79.296875
7,2,9,53,512,-459,-89.6484375
7,2,10,60,1024,-964,-94.140625
7,2,11,2535,2048,487,23.779296875
7,2,12,2692,4096,-1404,-34.27734375
7,2,13,4770,8192,-3422,-41.7724609375
7,2,14,5567,16384,-10817,-66.021728515625
7,2,15,112765,32768,79997,244.1314697265625
7,3,1,0,2,-2,-100.0
7,3,2,2,4,-2,-50.0
7,3,3,2,8,-6,-75.0
7,3,4,25,16,9,56.25
7,3,5,7,32,-25,-78.125
7,3,6,33,64,-31,-48.4375
7,3,7,91,128,-37,-28.90625
7,3,8,663,256,407,158.984375
7,3,9,115,512,-397,-77.5390625
7,3,10,2145,1024,1121,109.47265625
7,3,11,3614,2048,1566,76.46484375
7,3,12,159,4096,-3937,-96.1181640625
7,3,13,774,8192,-7418,-90.5517578125
7,3,14,656,16384,-15728,-95.99609375
7,3,15,79297,32768,46529,141.9952392578125
7,4,1,0,2,-2,-100.0
7,4,2,1,4,-3,-75.0
7,4,3,5,8,-3,-37.5
7,4,4,10,16,-6,-37.5
7,4,5,19,32,-13,-40.625
7,4,6,39,64,-25,-39.0625
7,4,7,103,128,-25,-19.53125
7,4,8,624,256,368,143.75
7,4,9,8,512,-504,-98.4375
7,4,10,22,1024,-1002,-97.8515625
7,4,11,782,2048,-1266,-61.81640625
7,4,12,2630,4096,-1466,-35.791015625
7,4,13,17906,8192,9714,118.5791015625
7,4,14,5119,16384,-11265,-68.756103515625
7,4,15,20273,32768,-12495,-38.1317138671875
7,5,1,0,2,-2,-100.0
7,5,2,7,4,3,75.0
7,5,3,6,8,-2,-25.0
7,5,4,4,16,-12,-75.0
7,5,5,29,32,-3,-9.375
7,5,6,7,64,-57,-89.0625
7,5,7,682,128,554,432.8125
7,5,8,506,256,250,97.65625
7,5,9,284,512,-228,-44.53125
7,5,10,850,1024,-174,-16.9921875
7,5,11,1624,2048,-424,-20.703125
7,5,12,5101,4096,1005,24.5361328125
7,5,13,15172,8192,6980,85.205078125
7,5,14,32657,16384,16273,99.322509765625
7,5,15,11631,32768,-21137,-64.5050048828125
7,6,1,0,2,-2,-100.0
7,6,2,2,4,-2,-50.0
7,6,3,14,8,6,75.0
7,6,4,3,16,-13,-81.25
7,6,5,6,32,-26,-81.25
7,6,6,31,64,-33,-51.5625
7,6,7,71,128,-57,-44.53125
7,6,8,857,256,601,234.765625
7,6,9,993,512,481,93.9453125
7,6,10,622,1024,-402,-39.2578125
7,6,11,3687,2048,1639,80.029296875
7,6,12,3276,4096,-820,-20.01953125
7,6,13,1708,8192,-6484,-79.150390625
7,6,14,30846,16384,14462,88.26904296875
7,6,15,6163,32768,-26605,-81.1920166015625
7,7,1,0,2,-2,-100.0
7,7,2,2,4,-2,-50.0
7,7,3,2,8,-6,-75.0
7,7,4,12,16,-4,-25.0
7,7,5,8,32,-24,-75.0
7,7,6,12,64,-52,-81.25
7,7,7,126,128,-2,-1.5625
7,7,8,160,256,-96,-37.5
7,7,9,167,512,-345,-67.3828125
7,7,10,465,1024,-559,-54.58984375
7,7,11,161,2048,-1887,-92.138671875
7,7,12,505,4096,-3591,-87.6708984375
7,7,13,6024,8192,-2168,-26.46484375
7,7,14,27501,16384,11117,67.852783203125
7,7,15,39015,32768,6247,19.0643310546875
8,1,1,0,2,-2,-100.0
8,1,2,5,4,1,25.0
8,1,3,4,8,-4,-50.0
8,1,4,10,16,-6,-37.5
8,1,5,44,32,12,37.5
8,1,6,35,64,-29,-45.3125
8,1,7,101,128,-27,-21.09375
8,1,8,408,256,152,59.375
8,1,9,1078,512,566,110.546875
8,1,10,519,1024,-505,-49.31640625
8,1,11,2192,2048,144,7.03125
8,1,12,8151,4096,4055,98.9990234375
8,1,13,6181,8192,-2011,-24.54833984375
8,1,14,613,16384,-15771,-96.258544921875
8,1,15,15485,32768,-17283,-52.7435302734375
8,2,1,0,2,-2,-100.0
8,2,2,2,4,-2,-50.0
8,2,3,8,8,0,0.0
8,2,4,16,16,0,0.0
8,2,5,5,32,-27,-84.375
8,2,6,27,64,-37,-57.8125
8,2,7,118,128,-10,-7.8125
8,2,8,952,256,696,271.875
8,2,9,451,512,-61,-11.9140625
8,2,10,381,1024,-643,-62.79296875
8,2,11,1191,2048,-857,-41.845703125
8,2,12,4159,4096,63,1.5380859375
8,2,13,1956,8192,-6236,-76.123046875
8,2,14,46229,16384,29845,182.159423828125
8,2,15,23126,32768,-9642,-29.425048828125
8,3,1,0,2,-2,-100.0
8,3,2,1,4,-3,-75.0
8,3,3,2,8,-6,-75.0
8,3,4,7,16,-9,-56.25
8,3,5,14,32,-18,-56.25
8,3,6,56,64,-8,-12.5
8,3,7,248,128,120,93.75
8,3,8,81,256,-175,-68.359375
8,3,9,269,512,-243,-47.4609375
8,3,10,1088,1024,64,6.25
8,3,11,276,2048,-1772,-86.5234375
8,3,12,8176,4096,4080,99.609375
8,3,13,9118,8192,926,11.3037109375
8,3,14,5306,16384,-11078,-67.61474609375
8,3,15,89917,32768,57149,174.4049072265625
8,4,1,0,2,-2,-100.0
8,4,2,1,4,-3,-75.0
8,4,3,2,8,-6,-75.0
8,4,4,5,16,-11,-68.75
8,4,5,25,32,-7,-21.875
8,4,6,57,64,-7,-10.9375
8,4,7,41,128,-87,-67.96875
8,4,8,28,256,-228,-89.0625
8,4,9,1192,512,680,132.8125
8,4,10,297,1024,-727,-70.99609375
8,4,11,945,2048,-1103,-53.857421875
8,4,12,4546,4096,450,10.986328125
8,4,13,12101,8192,3909,47.71728515625
8,4,14,308,16384,-16076,-98.1201171875
8,4,15,4644,32768,-28124,-85.82763671875
8,5,1,0,2,-2,-100.0
8,5,2,1,4,-3,-75.0
8,5,3,6,8,-2,-25.0
8,5,4,11,16,-5,-31.25
8,5,5,7,32,-25,-78.125
8,5,6,50,64,-14,-21.875
8,5,7,109,128,-19,-14.84375
8,5,8,766,256,510,199.21875
8,5,9,369,512,-143,-27.9296875
8,5,10,1567,1024,543,53.02734375
8,5,11,1659,2048,-389,-18.994140625
8,5,12,1646,4096,-2450,-59.814453125
8,5,13,11619,8192,3427,41.83349609375
8,5,14,9982,16384,-6402,-39.07470703125
8,5,15,28904,32768,-3864,-11.7919921875
8,6,1,0,2,-2,-100.0
8,6,2,3,4,-1,-25.0
8,6,3,2,8,-6,-75.0
8,6,4,3,16,-13,-81.25
8,6,5,12,32,-20,-62.5
8,6,6,42,64,-22,-34.375
8,6,7,137,128,9,7.03125
8,6,8,226,256,-30,-11.71875
8,6,9,1852,512,1340,261.71875
8,6,10,722,1024,-302,-29.4921875
8,6,11,899,2048,-1149,-56.103515625
8,6,12,9106,4096,5010,122.314453125
8,6,13,4982,8192,-3210,-39.1845703125
8,6,14,1110,16384,-15274,-93.22509765625
8,6,15,16389,32768,-16379,-49.9847412109375
8,7,1,0,2,-2,-100.0
8,7,2,1,4,-3,-75.0
8,7,3,2,8,-6,-75.0
8,7,4,47,16,31,193.75
8,7,5,34,32,2,6.25
8,7,6,66,64,2,3.125
8,7,7,330,128,202,157.8125
8,7,8,436,256,180,70.3125
8,7,9,33,512,-479,-93.5546875
8,7,10,306,1024,-718,-70.1171875
8,7,11,263,2048,-1785,-87.158203125
8,7,12,712,4096,-3384,-82.6171875
8,7,13,13599,8192,5407,66.00341796875
8,7,14,1771,16384,-14613,-89.190673828125
8,7,15,66699,32768,33931,103.5491943359375
8,8,1,0,2,-2,-100.0
8,8,2,1,4,-3,-75.0
8,8,3,14,8,6,75.0
8,8,4,25,16,9,56.25
8,8,5,17,32,-15,-46.875
8,8,6,34,64,-30,-46.875
8,8,7,85,128,-43,-33.59375
8,8,8,479,256,223,87.109375
8,8,9,353,512,-159,-31.0546875
8,8,10,461,1024,-563,-54.98046875
8,8,11,677,2048,-1371,-66.943359375
8,8,12,137,4096,-3959,-96.6552734375
8,8,13,2105,8192,-6087,-74.30419921875
8,8,14,1063,16384,-15321,-93.511962890625
8,8,15,2057,32768,-30711,-93.7225341796875
9,1,1,0,2,-2,-100.0
9,1,2,1,4,-3,-75.0
9,1,3,4,8,-4,-50.0
9,1,4,7,16,-9,-56.25
9,1,5,36,32,4,12.5
9,1,6,28,64,-36,-56.25
9,1,7,233,128,105,82.03125
9,1,8,30,256,-226,-88.28125
9,1,9,1187,512,675,131.8359375
9,1,10,492,1024,-532,-51.953125
9,1,11,2563,2048,515,25.146484375
9,1,12,1423,4096,-2673,-65.2587890625
9,1,13,46,8192,-8146,-99.4384765625
9,1,14,32091,16384,15707,95.867919921875
9,1,15,29508,32768,-3260,-9.94873046875
9,2,1,0,2,-2,-100.0
9,2,2,1,4,-3,-75.0
9,2,3,3,8,-5,-62.5
9,2,4,5,16,-11,-68.75
9,2,5,19,32,-13,-40.625
9,2,6,35,64,-29,-45.3125
9,2,7,43,128,-85,-66.40625
9,2,8,93,256,-163,-63.671875
9,2,9,134,512,-378,-73.828125
9,2,10,1602,1024,578,56.4453125
9,2,11,7068,2048,5020,245.1171875
9,2,12,852,4096,-3244,-79.19921875
9,2,13,440,8192,-7752,-94.62890625
9,2,14,32752,16384,16368,99.90234375
9,2,15,132937,32768,100169,305.6915283203125
9,3,1,0,2,-2,-100.0
9,3,2,2,4,-2,-50.0
9,3,3,2,8,-6,-75.0
9,3,4,8,16,-8,-50.0
9,3,5,23,32,-9,-28.125
9,3,6,53,64,-11,-17.1875
9,3,7,45,128,-83,-64.84375
9,3,8,63,256,-193,-75.390625
9,3,9,118,512,-394,-76.953125
9,3,10,341,1024,-683,-66.69921875
9,3,11,2165,2048,117,5.712890625
9,3,12,3655,4096,-441,-10.7666015625
9,3,13,2678,8192,-5514,-67.3095703125
9,3,14,26021,16384,9637,58.819580078125
9,3,15,42171,32768,9403,28.6956787109375
9,4,1,0,2,-2,-100.0
9,4,2,1,4,-3,-75.0
9,4,3,4,8,-4,-50.0
9,4,4,32,16,16,100.0
9,4,5,27,32,-5,-15.625
9,4,6,84,64,20,31.25
9,4,7,39,128,-89,-69.53125
9,4,8,166,256,-90,-35.15625
9,4,9,646,512,134,26.171875
9,4,10,2740,1024,1716,167.578125
9,4,11,189,2048,-1859,-90.771484375
9,4,12,5345,4096,1249,30.4931640625
9,4,13,551,8192,-7641,-93.27392578125
9,4,14,800,16384,-15584,-95.1171875
9,4,15,1066,32768,-31702,-96.746826171875
9,5,1,0,2,-2,-100.0
9,5,2,1,4,-3,-75.0
9,5,3,22,8,14,175.0
9,5,4,13,16,-3,-18.75
9,5,5,6,32,-26,-81.25
9,5,6,107,64,43,67.1875
9,5,7,201,128,73,57.03125
9,5,8,159,256,-97,-37.890625
9,5,9,300,512,-212,-41.40625
9,5,10,306,1024,-718,-70.1171875
9,5,11,47,2048,-2001,-97.705078125
9,5,12,1451,4096,-2645,-64.5751953125
9,5,13,5800,8192,-2392,-29.19921875
9,5,14,21268,16384,4884,29.8095703125
9,5,15,49947,32768,17179,52.4261474609375
9,6,1,0,2,-2,-100.0
9,6,2,1,4,-3,-75.0
9,6,3,2,8,-6,-75.0
9,6,4,3,16,-13,-81.25
9,6,5,12,32,-20,-62.5
9,6,6,33,64,-31,-48.4375
9,6,7,69,128,-59,-46.09375
9,6,8,169,256,-87,-33.984375
9,6,9,624,512,112,21.875
9,6,10,192,1024,-832,-81.25
9,6,11,3930,2048,1882,91.89453125
9,6,12,13133,4096,9037,220.6298828125
9,6,13,2409,8192,-5783,-70.59326171875
9,6,14,29223,16384,12839,78.363037109375
9,6,15,47301,32768,14533,44.3511962890625
9,7,1,0,2,-2,-100.0
9,7,2,1,4,-3,-75.0
9,7,3,2,8,-6,-75.0
9,7,4,32,16,16,100.0
9,7,5,54,32,22,68.75
9,7,6,68,64,4,6.25
9,7,7,54,128,-74,-57.8125
9,7,8,141,256,-115,-44.921875
9,7,9,455,512,-57,-11.1328125
9,7,10,1497,1024,473,46.19140625
9,7,11,6434,2048,4386,214.16015625
9,7,12,12492,4096,8396,204.98046875
9,7,13,11939,8192,3747,45.73974609375
9,7,14,31098,16384,14714,89.80712890625
9,7,15,32233,32768,-535,-1.6326904296875
9,8,1,0,2,-2,-100.0
9,8,2,1,4,-3,-75.0
9,8,3,5,8,-3,-37.5
9,8,4,3,16,-13,-81.25
9,8,5,38,32,6,18.75
9,8,6,48,64,-16,-25.0
9,8,7,19,128,-109,-85.15625
9,8,8,37,256,-219,-85.546875
9,8,9,1739,512,1227,239.6484375
9,8,10,2490,1024,1466,143.1640625
9,8,11,581,2048,-1467,-71.630859375
9,8,12,3507,4096,-589,-14.3798828125
9,8,13,2434,8192,-5758,-70.2880859375
9,8,14,1165,16384,-15219,-92.889404296875
9,8,15,22987,32768,-9781,-29.8492431640625
9,9,1,0,2,-2,-100.0
9,9,2,1,4,-3,-75.0
9,9,3,2,8,-6,-75.0
9,9,4,30,16,14,87.5
9,9,5,18,32,-14,-43.75
9,9,6,15,64,-49,-76.5625
9,9,7,22,128,-106,-82.8125
9,9,8,67,256,-189,-73.828125
9,9,9,426,512,-86,-16.796875
9,9,10,510,1024,-514,-50.1953125
9,9,11,3149,2048,1101,53.759765625
9,9,12,2059,4096,-2037,-49.7314453125
9,9,13,6559,8192,-1633,-19.93408203125
9,9,14,49372,16384,32988,201.3427734375
9,9,15,4769,32768,-27999,-85.4461669921875
10,1,1,0,2,-2,-100.0
10,1,2,5,4,1,25.0
10,1,3,8,8,0,0.0
10,1,4,5,16,-11,-68.75
10,1,5,38,32,6,18.75
10,1,6,27,64,-37,-57.8125
10,1,7,163,128,35,27.34375
10,1,8,175,256,-81,-31.640625
10,1,9,72,512,-440,-85.9375
10,1,10,453,1024,-571,-55.76171875
10,1,11,748,2048,-1300,-63.4765625
10,1,12,2885,4096,-1211,-29.5654296875
10,1,13,2283,8192,-5909,-72.13134765625
10,1,14,6527,16384,-9857,-60.162353515625
10,1,15,27602,32768,-5166,-15.765380859375
10,2,1,0,2,-2,-100.0
10,2,2,2,4,-2,-50.0
10,2,3,2,8,-6,-75.0
10,2,4,39,16,23,143.75
10,2,5,34,32,2,6.25
10,2,6,83,64,19,29.6875
10,2,7,21,128,-107,-83.59375
10,2,8,334,256,78,30.46875
10,2,9,84,512,-428,-83.59375
10,2,10,1376,1024,352,34.375
10,2,11,2327,2048,279,13.623046875
10,2,12,1581,4096,-2515,-61.4013671875
10,2,13,2419,8192,-5773,-70.47119140625
10,2,14,17714,16384,1330,8.11767578125
10,2,15,14321,32768,-18447,-56.2957763671875
10,3,1,0,2,-2,-100.0
10,3,2,2,4,-2,-50.0
10,3,3,2,8,-6,-75.0
10,3,4,9,16,-7,-43.75
