Total Runs_,Absolute Difference_mean,Absolute Difference_std,Absolute Difference_min,Absolute Difference_max,Percentage Difference_mean,Percentage Difference_std,Percentage Difference_min,Percentage Difference_max
61,248.69398907103826,10626.142618253065,-29887,170598,-13.47018882876537,89.00844785535905,-100.0,530.419921875
62,-110.1010752688172,8342.33297247075,-32675,86815,-8.178156370757728,97.69073176910419,-100.0,739.84375
63,403.6148148148148,11372.535943202876,-30921,169754,-13.667741402116402,90.75821581693877,-100.0,587.652587890625
64,-51.140625,10671.239188616415,-32333,190183,-13.160556157430014,87.65328634137929,-100.0,580.3924560546875
65,258.9794871794872,11056.66620098806,-32684,154272,-14.961375701121796,86.09830225613082,-100.0,485.15625
66,-312.87070707070706,8674.07252024105,-32543,106823,-12.216405386876579,94.663071971954,-100.0,690.234375
67,-222.82189054726368,8690.948591462307,-32510,72068,-9.238126384678171,100.6562787894566,-100.0,712.5
68,-4.62843137254902,8932.377588079835,-32246,118863,-12.596647973154106,87.81295619554051,-100.0,378.7109375
69,-344.1855072463768,8789.432882111985,-32506,98428,-16.778658806989736,88.3052849059343,-100.0,648.4375
70,-141.59238095238095,10253.668348642137,-32443,177540,-15.011965797061013,88.46627222718419,-100.0,541.80908203125
71,442.74835680751175,11073.415042078701,-32087,121088,-9.95098848298122,97.10893695666465,-100.0,679.6875
72,-503.52037037037036,9056.477987089242,-32739,106451,-19.849415531864874,81.77319623692402,-100.0,441.50390625
73,-229.07762557077626,7854.306948783289,-32700,102325,-12.24289985552226,89.9692016958493,-100.0,647.65625
74,383.24504504504506,10108.352080125967,-32314,122298,-12.80552219700169,92.61489453215711,-100.0,749.560546875
75,-602.296,7860.254796882518,-32198,82953,-17.08926052517361,84.40479442909766,-100.0,448.876953125
76,-27.596491228070175,13485.509220241704,-31930,313575,-13.161939654433937,95.47628106881338,-100.0,956.9549560546875
77,-510.8632034632035,8380.503295276307,-32557,74967,-11.519915427996482,89.29842684316051,-100.0,496.09375
78,-464.4111111111111,8558.34980982224,-32031,111902,-10.015050121861645,99.83785973772216,-100.0,934.375
79,444.54599156118144,10676.586303420114,-32718,158771,-10.933286771492616,93.19047327654981,-100.0,592.96875
80,-306.03,8697.616840051469,-32673,87392,-15.26770273844401,89.95377349184976,-100.0,529.0771484375
81,354.4954732510288,12318.809220964022,-32623,199745,-11.167627656410751,94.17050784238063,-100.0,609.5733642578125
82,598.760162601626,11266.457483956232,-31185,141097,-7.927717503493394,97.26555502852844,-100.0,518.75
83,233.2690763052209,10480.90552847569,-32740,159194,-9.830248729292169,97.32461233568051,-100.0,879.6875
84,132.6015873015873,9551.490175125855,-32031,115279,-11.106024848090279,94.51442402642792,-100.0,651.953125
85,231.25725490196078,8598.858744490934,-31846,83615,-11.142834233302697,88.7955822791829,-100.0,833.10546875
86,-74.0015503875969,8750.024539209611,-31684,106868,-13.288347111191861,87.41987917884856,-100.0,546.875
87,433.8735632183908,9953.564597567974,-32267,130597,-13.48435909812021,92.19192010093609,-100.0,775.0
88,36.03030303030303,10178.626285530438,-32461,124528,-11.790734493371213,96.34824948535476,-100.0,664.599609375
89,61.262921348314606,10497.277154372372,-31623,205007,-9.865094017000233,90.78101893665017,-100.0,625.6317138671875
