Flips,Mean,Std,Q1,Median,Q3,Min,Max,Count,Mean_Distance_from_0.5,Max_Distance_from_0.5
2,0.499115,0.35430632523950206,0.0,0.5,1.0,0.0,1.0,100000,0.0008850000000000247,0.5
3,0.50098,0.28829360739595605,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,100000,0.0009799999999999809,0.5
4,0.500005,0.24985120418209156,0.25,0.5,0.75,0.0,1.0,100000,5.000000000032756e-06,0.5
5,0.49994,0.2229719569025136,0.4,0.4,0.6,0.0,1.0,100000,6.0000000000004494e-05,0.5
6,0.5003716666666667,0.20399074104124829,0.3333333333333333,0.5,0.6666666666666666,0.0,1.0,100000,0.00037166666666665904,0.5
7,0.4996028571428571,0.18973611704740603,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,1.0,100000,0.0003971428571428737,0.5
8,0.49973,0.17629765429134042,0.375,0.5,0.625,0.0,1.0,100000,0.00026999999999999247,0.5
9,0.5007755555555555,0.166530082654328,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.0,1.0,100000,0.0007755555555555294,0.5
10,0.49929599999999996,0.15780289414815568,0.4,0.5,0.6,0.0,1.0,100000,0.0007040000000000379,0.5
11,0.4999563636363636,0.1510844378242739,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.0,1.0,100000,4.363636363641232e-05,0.5
12,0.5002025,0.14442159854151562,0.4166666666666667,0.5,0.5833333333333334,0.0,1.0,100000,0.00020249999999999435,0.5
13,0.49967230769230775,0.13884166688987593,0.38461538461538464,0.46153846153846156,0.6153846153846154,0.0,1.0,100000,0.0003276923076922511,0.5
14,0.49983571428571427,0.13358383604514043,0.42857142857142855,0.5,0.5714285714285714,0.0,1.0,100000,0.0001642857142857279,0.5
15,0.4996353333333333,0.1292059104423197,0.4,0.4666666666666667,0.6,0.0,0.9333333333333333,100000,0.0003646666666666798,0.5
16,0.499923125,0.12495887543484052,0.4375,0.5,0.5625,0.0,0.9375,100000,7.687499999997627e-05,0.5
17,0.49974529411764707,0.12115082065959751,0.4117647058823529,0.5294117647058824,0.5882352941176471,0.058823529411764705,0.9411764705882353,100000,0.0002547058823529347,0.4411764705882353
18,0.5000405555555556,0.11788143355634563,0.4444444444444444,0.5,0.5555555555555556,0.05555555555555555,1.0,100000,4.05555555555992e-05,0.5
19,0.5002152631578948,0.1146555811782007,0.42105263157894735,0.5263157894736842,0.5789473684210527,0.05263157894736842,0.9473684210526315,100000,0.0002152631578947739,0.4473684210526316
20,0.4999995,0.111733387325581,0.4,0.5,0.6,0.05,0.95,100000,5.000000000143778e-07,0.45
21,0.4998528571428571,0.10938752618606545,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.09523809523809523,0.9523809523809523,100000,0.0001471428571429012,0.45238095238095233
