Run,Streak Target,Flips Required
22,9,73
22,10,244
22,11,10511
22,12,7947
22,13,10396
22,14,2537
22,15,12567
22,16,76165
22,17,326543
22,18,25420
22,19,120582
22,20,665611
23,1,0
23,2,1
23,3,8
23,4,47
23,5,11
23,6,16
23,7,285
23,8,191
23,9,691
23,10,1492
23,11,663
23,12,220
23,13,4174
23,14,18644
23,15,162540
23,16,43137
23,17,72950
23,18,546118
23,19,479233
23,20,2526
24,1,0
24,2,2
24,3,3
24,4,7
24,5,24
24,6,5
24,7,8
24,8,72
24,9,82
24,10,996
24,11,3993
24,12,375
24,13,5796
24,14,14572
24,15,58395
24,16,20899
24,17,136168
24,18,332337
24,19,34647
24,20,10219
25,1,0
25,2,2
25,3,12
25,4,7
25,5,13
25,6,10
25,7,60
25,8,97
25,9,725
25,10,184
25,11,598
25,12,8550
25,13,8289
25,14,745
25,15,58164
25,16,26401
25,17,11056
25,18,177638
25,19,128359
25,20,76357
26,1,0
26,2,2
26,3,4
26,4,3
26,5,53
26,6,92
26,7,258
26,8,49
26,9,466
26,10,362
26,11,1520
26,12,10204
26,13,4915
26,14,25317
26,15,14278
26,16,39757
26,17,145316
26,18,233879
26,19,415597
26,20,1427685
27,1,0
27,2,2
27,3,5
27,4,8
27,5,55
27,6,144
27,7,86
27,8,12
27,9,400
27,10,1576
27,11,105
27,12,1114
27,13,2844
27,14,5031
27,15,33344
27,16,21879
27,17,79162
27,18,12867
27,19,132932
27,20,175599
28,1,0
28,2,2
28,3,3
28,4,9
28,5,49
28,6,43
28,7,17
28,8,296
28,9,990
28,10,1792
28,11,3224
28,12,2972
28,13,9535
28,14,9305
28,15,14028
28,16,29873
28,17,238039
28,18,192354
28,19,1373302
28,20,1623432
29,1,0
29,2,1
29,3,19
29,4,8
29,5,7
29,6,65
29,7,30
29,8,94
29,9,226
29,10,1855
29,11,774
29,12,1208
29,13,14
29,14,6922
29,15,22529
29,16,13702
29,17,70902
29,18,338880
29,19,149481
29,20,72450
30,1,0
30,2,2
30,3,11
30,4,7
30,5,19
30,6,147
30,7,483
30,8,143
30,9,381
30,10,121
30,11,476
30,12,2929
30,13,10532
30,14,24732
30,15,13281
30,16,46551
30,17,332675
30,18,15290
30,19,159912
30,20,1741735
31,1,0
31,2,1
31,3,2
31,4,47
31,5,11
31,6,34
31,7,92
31,8,281
31,9,165
31,10,256
31,11,322
31,12,4671
31,13,73278
31,14,67508
31,15,19437
31,16,30324
31,17,127660
31,18,560840
31,19,804799
31,20,321521
32,1,0
32,2,1
32,3,7
32,4,4
32,5,55
32,6,243
32,7,42
32,8,301
32,9,233
32,10,762
32,11,1610
32,12,4590
32,13,4797
32,14,581
32,15,4760
32,16,15635
32,17,58639
32,18,31671
32,19,438999
32,20,1293961
33,1,0
33,2,3
33,3,2
33,4,18
33,5,9
33,6,13
33,7,39
33,8,292
33,9,109
33,10,1403
33,11,3774
33,12,4852
33,13,5303
33,14,38526
33,15,63639
33,16,1891
33,17,382665
33,18,82564
33,19,49305
33,20,324044
34,1,0
34,2,6
34,3,4
34,4,24
34,5,8
34,6,150
34,7,17
34,8,122
34,9,1067
34,10,807
34,11,2875
34,12,3841
34,13,5200
34,14,2377
34,15,1565
34,16,29009
34,17,111293
34,18,600691
34,19,3232947
34,20,1016764
35,1,0
35,2,2
35,3,7
35,4,5
35,5,9
35,6,34
35,7,248
35,8,351
35,9,75
35,10,10
35,11,129
35,12,1074
35,13,8213
35,14,12799
35,15,21211
35,16,103790
35,17,85758
35,18,191528
35,19,75931
35,20,1221640
36,1,0
36,2,1
36,3,6
36,4,14
36,5,12
36,6,110
36,7,101
36,8,197
36,9,407
36,10,451
36,11,3249
36,12,1504
36,13,10207
36,14,5919
36,15,2894
36,16,37966
36,17,17569
36,18,189265
36,19,133860
36,20,129459
37,1,0
37,2,3
37,3,25
37,4,18
37,5,41
37,6,11
37,7,19
37,8,15
37,9,132
37,10,77
37,11,2473
37,12,1795
37,13,13805
37,14,12121
37,15,92607
37,16,10654
37,17,76904
37,18,214821
37,19,226924
37,20,199541
38,1,0
38,2,1
38,3,2
38,4,3
38,5,36
38,6,101
38,7,192
38,8,673
38,9,108
38,10,4874
38,11,92
38,12,1320
38,13,2617
38,14,33186
38,15,266552
38,16,51250
38,17,196177
38,18,91905
38,19,2003657
38,20,1297113
39,1,0
39,2,8
39,3,9
39,4,5
39,5,5
39,6,21
39,7,16
39,8,26
39,9,30
39,10,1079
39,11,557
39,12,18924
39,13,12304
39,14,15112
39,15,23573
39,16,15757
39,17,426639
39,18,439304
39,19,68545
39,20,3191
40,1,0
40,2,1
40,3,8
40,4,48
40,5,49
40,6,123
40,7,41
40,8,904
40,9,984
40,10,2552
40,11,408
40,12,18189
40,13,4082
40,14,5045
40,15,26306
40,16,34548
40,17,5935
40,18,5191
40,19,102957
40,20,409609
41,1,0
41,2,4
41,3,5
41,4,4
41,5,22
41,6,217
41,7,80
41,8,248
41,9,309
41,10,310
41,11,1220
41,12,6450
41,13,5614
41,14,30703
41,15,6785
41,16,8330
41,17,215457
41,18,318855
41,19,742411
41,20,1826846
42,1,0
42,2,1
42,3,2
42,4,7
42,5,10
42,6,43
42,7,481
42,8,17
42,9,421
42,10,216
42,11,2241
42,12,21265
42,13,2777
42,14,6063
42,15,6105
42,16,3603
42,17,144413
42,18,84472
42,19,187476
42,20,1219112
43,1,0
43,2,1
43,3,7
43,4,14
43,5,48
43,6,64
43,7,129
43,8,167
43,9,349
43,10,1193
43,11,452
43,12,1276
43,13,2207
43,14,63379
43,15,20794
43,16,55340
43,17,392168
43,18,770917
43,19,1714100
43,20,560823
44,1,0
44,2,2
44,3,17
44,4,28
44,5,4
44,6,13
44,7,42
44,8,370
44,9,285
44,10,837
44,11,9036
44,12,2813
44,13,5878
44,14,2020
44,15,33390
44,16,101947
44,17,342232
44,18,7251
44,19,31733
44,20,2282314
45,1,0
45,2,2
45,3,10
45,4,7
45,5,5
45,6,24
45,7,62
45,8,1250
45,9,328
45,10,949
45,11,873
45,12,2829
45,13,6039
45,14,19436
45,15,53289
45,16,144889
45,17,204937
45,18,113247
45,19,134619
45,20,92139
46,1,0
46,2,4
46,3,2
46,4,33
46,5,21
46,6,33
46,7,46
46,8,221
46,9,419
46,10,32
46,11,451
46,12,1323
46,13,23527
46,14,38435
46,15,11135
46,16,20132
46,17,6906
46,18,89967
46,19,115660
46,20,1610833
47,1,0
47,2,1
47,3,4
47,4,23
47,5,132
47,6,58
47,7,208
47,8,391
47,9,1848
