Run,Streak Target,Flips Required
1,1,0
1,2,4
1,3,8
1,4,8
1,5,7
1,6,131
1,7,44
1,8,125
1,9,127
1,10,883
1,11,1137
1,12,8179
1,13,2338
1,14,7248
1,15,19610
1,16,11437
1,17,50616
1,18,456148
1,19,212830
1,20,785929
1,21,612597
1,22,10340894
1,23,5052150
1,24,40291810
1,25,119237848
2,1,0
2,2,1
2,3,4
2,4,11
2,5,7
2,6,33
2,7,59
2,8,951
2,9,250
2,10,916
2,11,888
2,12,11
2,13,4037
2,14,134
2,15,3924
2,16,44471
2,17,87956
2,18,252884
2,19,292739
2,20,2888546
2,21,1512268
2,22,5759995
2,23,3933983
2,24,36681294
2,25,8204581
3,1,0
3,2,1
3,3,6
3,4,6
3,5,13
3,6,136
3,7,24
3,8,10
3,9,328
3,10,2555
3,11,3055
3,12,2826
3,13,9601
3,14,886
3,15,54576
3,16,139913
3,17,24580
3,18,1579
3,19,227487
3,20,1238127
3,21,772600
3,22,3851748
3,23,5826062
3,24,7248994
3,25,10248577
4,1,0
4,2,7
4,3,2
4,4,10
4,5,76
4,6,26
4,7,43
4,8,613
4,9,69
4,10,147
4,11,4361
4,12,2364
4,13,6121
4,14,52658
4,15,84286
4,16,3850
4,17,33834
4,18,104234
4,19,553925
4,20,2174891
4,21,1325728
4,22,681354
4,23,4690737
4,24,15651060
4,25,40777615
5,1,0
5,2,1
5,3,6
5,4,16
5,5,10
5,6,29
5,7,388
5,8,144
5,9,710
5,10,2745
5,11,280
5,12,2170
5,13,28954
5,14,9461
5,15,38806
5,16,96032
5,17,57291
5,18,11098
5,19,129992
5,20,2658232
5,21,178753
5,22,5019678
5,23,9503798
5,24,28334147
5,25,17743758
6,1,0
6,2,4
6,3,7
6,4,12
6,5,7
6,6,220
6,7,36
6,8,16
6,9,991
6,10,3170
6,11,1046
6,12,5667
6,13,2789
6,14,90412
6,15,59251
6,16,138597
6,17,73583
6,18,40510
6,19,75121
6,20,3232259
6,21,152467
6,22,6010628
6,23,16911453
6,24,25996330
6,25,79937581
7,1,0
7,2,1
7,3,9
7,4,52
7,5,46
7,6,86
7,7,12
7,8,9
7,9,958
7,10,581
7,11,2841
7,12,5189
7,13,2828
7,14,13946
7,15,41439
7,16,6750
7,17,63843
7,18,26399
7,19,151609
7,20,213158
7,21,1321376
7,22,10657319
7,23,15387992
7,24,14857494
7,25,74689089
8,1,0
8,2,2
8,3,6
8,4,17
8,5,4
8,6,17
8,7,123
8,8,115
8,9,144
8,10,648
8,11,2144
8,12,1535
8,13,12459
8,14,1671
8,15,11007
8,16,237688
8,17,242468
8,18,197785
8,19,331140
8,20,1014078
8,21,698392
8,22,3635117
8,23,9110471
8,24,13979413
8,25,2467902
9,1,0
9,2,3
9,3,3
9,4,5
9,5,29
9,6,119
9,7,188
9,8,39
9,9,151
9,10,118
9,11,2208
9,12,2155
9,13,6190
9,14,25740
9,15,5143
9,16,88241
9,17,148347
9,18,1020158
9,19,365790
9,20,1696589
9,21,2840366
9,22,8772518
9,23,5181688
9,24,9122797
9,25,30050534
10,1,0
10,2,3
10,3,6
10,4,23
10,5,30
10,6,8
10,7,69
10,8,936
10,9,193
10,10,602
10,11,5310
10,12,3011
10,13,13158
10,14,18523
10,15,44323
10,16,32719
10,17,97366
10,18,43262
10,19,227263
10,20,1044133
10,21,2247447
10,22,11327059
10,23,12155079
10,24,63568301
10,25,8247244
11,1,0
11,2,2
11,3,4
11,4,10
11,5,63
11,6,28
11,7,218
11,8,824
11,9,933
11,10,1231
11,11,2901
11,12,4464
11,13,284
11,14,6551
11,15,28320
11,16,45098
11,17,5719
11,18,107784
11,19,295131
11,20,2355920
11,21,4183132
11,22,563934
11,23,16436785
11,24,5497109
11,25,30864554
12,1,0
12,2,1
12,3,2
12,4,7
12,5,6
12,6,139
12,7,98
12,8,310
12,9,36
12,10,2694
12,11,3568
12,12,8707
12,13,676
12,14,51910
12,15,9421
12,16,12293
12,17,233451
12,18,121105
12,19,177806
12,20,218194
12,21,864401
12,22,3936472
12,23,5105170
12,24,16203792
12,25,22090583
13,1,0
13,2,4
13,3,4
13,4,17
13,5,17
13,6,10
13,7,110
13,8,97
13,9,1090
13,10,2041
13,11,5188
13,12,8925
13,13,14864
13,14,3139
13,15,6792
13,16,53236
13,17,135014
13,18,99998
13,19,708580
13,20,1077724
13,21,396275
13,22,1506592
13,23,4932307
13,24,15899378
13,25,32763215
14,1,0
14,2,2
14,3,10
14,4,18
14,5,49
14,6,26
14,7,73
14,8,297
14,9,307
14,10,906
14,11,2260
14,12,5788
14,13,617
14,14,13914
14,15,20556
14,16,36927
14,17,366564
14,18,250347
14,19,149489
14,20,4815586
14,21,8318
14,22,4461546
14,23,8175119
14,24,17827599
14,25,21415243
15,1,0
15,2,2
15,3,6
15,4,9
15,5,4
15,6,62
15,7,244
15,8,22
15,9,450
15,10,1163
15,11,1193
15,12,10111
15,13,9988
15,14,19923
15,15,28341
15,16,45255
15,17,100141
15,18,218048
15,19,738167
15,20,31388
15,21,4879849
15,22,14144680
15,23,3850299
15,24,13654156
15,25,12675317
16,1,0
16,2,2
16,3,21
16,4,4
16,5,13
16,6,108
16,7,10
16,8,439
16,9,535
16,10,308
16,11,101
16,12,3365
16,13,2851
16,14,20571
16,15,13350
16,16,9550
16,17,19850
16,18,3393
16,19,801593
16,20,2779860
16,21,1583278
16,22,691303
16,23,1638371
16,24,5782337
16,25,36298922
17,1,0
17,2,1
17,3,3
17,4,25
17,5,28
17,6,29
17,7,26
17,8,280
17,9,64
17,10,1555
17,11,128
17,12,3469
17,13,2921
17,14,16556
17,15,22868
17,16,32516
17,17,18315
17,18,213134
17,19,825404
17,20,2928199
17,21,1798643
17,22,2009390
17,23,3575216
17,24,7243648
17,25,3241809
18,1,0
18,2,2
18,3,3
18,4,18
18,5,4
18,6,9
18,7,28
18,8,423
18,9,564
18,10,392
18,11,7011
18,12,509
18,13,681
18,14,501
18,15,114024
18,16,3190
18,17,51629
18,18,24313
18,19,3703499
18,20,1278849
18,21,5629252
18,22,3986386
18,23,8024040
18,24,5779327
18,25,17590175
19,1,0
19,2,2
19,3,20
19,4,9
19,5,36
19,6,11
19,7,688
19,8,350
19,9,327
19,10,1537
19,11,444
19,12,831
19,13,6713
19,14,13198
19,15,84841
19,16,39141
19,17,153837
19,18,335521
19,19,173768
19,20,771522
19,21,3116398
19,22,4402716
19,23,17375523
19,24,5074954
19,25,78879848
20,1,0
20,2,9
20,3,3
20,4,6
20,5,6
20,6,161
20,7,161
20,8,562
20,9,1178
20,10,232
20,11,1590
20,12,3240
20,13,313
20,14,793
20,15,74428
20,16,41757
20,17,165439
20,18,89371
20,19,706492
20,20,56154
20,21,278207
20,22,12838095
20,23,198431
20,24,2032817
20,25,30093672
21,1,0
21,2,1
21,3,2
21,4,9
21,5,85
21,6,105
21,7,73
21,8,32
21,9,1311
21,10,99
21,11,1778
21,12,5417
21,13,8368
21,14,4789
21,15,30070
21,16,46181
21,17,52458
21,18,13928
21,19,413353
21,20,251139
21,21,3233856
21,22,1227231
21,23,23733071
21,24,30891686
21,25,3849145
22,1,0
22,2,1
22,3,2
22,4,5
22,5,14
22,6,6
22,7,306
22,8,132
22,9,195
22,10,2055
22,11,518
22,12,13972
22,13,5342
22,14,12616
22,15,21015
22,16,55810
22,17,40518
22,18,1061333
22,19,571236
22,20,2385254
22,21,3865916
22,22,910787
22,23,337994
22,24,8960789
22,25,34588520
23,1,0
23,2,1
23,3,4
23,4,7
23,5,14
23,6,5
23,7,131
23,8,181
23,9,232
23,10,96
23,11,895
23,12,19576
23,13,7627
23,14,5435
23,15,151732
23,16,169536
23,17,16323
23,18,269404
23,19,1893219
23,20,25677
23,21,861901
23,22,313066
23,23,4523348
23,24,15964775
23,25,54221604
24,1,0
24,2,1
24,3,6
24,4,15
24,5,6
24,6,201
24,7,101
24,8,35
24,9,145
24,10,547
24,11,3254
24,12,256
24,13,6168
24,14,426
24,15,3898
24,16,6994
24,17,30931
24,18,1937
24,19,1678108
24,20,546625
24,21,244652
24,22,1059616
24,23,8471596
24,24,4838903
24,25,47417840
25,1,0
25,2,3
25,3,6
25,4,8
25,5,10
25,6,35
25,7,168
25,8,332
25,9,45
25,10,69
25,11,2468
25,12,4229
25,13,4666
25,14,4772
25,15,43988
25,16,99952
25,17,32167
25,18,986416
25,19,152679
25,20,134156
25,21,1934023
25,22,2665891
25,23,3664562
25,24,31222570
25,25,20017917
26,1,0
26,2,1
26,3,4
26,4,21
26,5,4
26,6,26
26,7,12
26,8,398
26,9,2572
26,10,777
26,11,5417
26,12,17745
26,13,8165
26,14,4064
26,15,36808
26,16,350
26,17,35422
26,18,328307
26,19,1631811
26,20,1223784
26,21,274381
26,22,6947667
26,23,18042145
26,24,28421581
26,25,15185312
27,1,0
27,2,1
27,3,4
27,4,9
27,5,11
27,6,6
27,7,9
27,8,20
27,9,488
27,10,168
27,11,2353
27,12,2284
27,13,965
27,14,41505
27,15,10556
27,16,158503
27,17,235046
27,18,215330
27,19,29509
27,20,945952
27,21,1952038
27,22,7381999
27,23,1722279
27,24,9196711
27,25,31204482
28,1,0
28,2,2
28,3,15
28,4,17
28,5,51
28,6,10
28,7,230
28,8,176
28,9,256
28,10,462
28,11,247
28,12,1597
28,13,12152
28,14,3235
28,15,34145
28,16,95844
28,17,58453
28,18,1054424
28,19,303543
28,20,270104
28,21,3051442
28,22,14942678
28,23,4283430
28,24,5303308
28,25,30490957
29,1,0
29,2,1
29,3,3
29,4,3
29,5,5
29,6,21
29,7,43
29,8,31
29,9,388
29,10,274
29,11,1050
29,12,10950
29,13,9716
29,14,12041
29,15,1593
29,16,41900
29,17,429067
29,18,449973
29,19,84188
29,20,41885
29,21,3045889
29,22,4875198
29,23,556329
29,24,34811695
29,25,10319709
30,1,0
30,2,1
30,3,4
30,4,12
30,5,105
30,6,66
30,7,74
30,8,141
30,9,543
30,10,459
30,11,2594
30,12,4682
30,13,19446
30,14,25407
30,15,19141
30,16,125004
30,17,99713
30,18,168329
30,19,147817
30,20,2129827
30,21,3204892
30,22,1597615
30,23,22311797
30,24,1463018
30,25,48723820
31,1,0
31,2,2
31,3,7
31,4,26
31,5,10
31,6,92
31,7,742
31,8,35
31,9,517
31,10,4346
31,11,1134
31,12,1040
31,13,547
31,14,10059
31,15,63116
31,16,75837
31,17,208926
31,18,158062
31,19,627097
31,20,1305597
31,21,6040547
31,22,4343334
31,23,4531580
31,24,13129138
31,25,30188050
32,1,0
32,2,2
32,3,3
32,4,12
32,5,24
32,6,124
32,7,58
32,8,74
32,9,313
32,10,1414
32,11,1442
32,12,251
32,13,232
32,14,9859
32,15,126309
32,16,80610
32,17,39868
32,18,75216
32,19,1310583
32,20,11101
32,21,1837970
32,22,3531612
32,23,8659045
32,24,2778296
32,25,12653089
33,1,0
33,2,3
33,3,10
33,4,17
33,5,22
33,6,46
33,7,121
33,8,84
33,9,340
33,10,920
33,11,1727
33,12,3409
33,13,2764
33,14,79990
33,15,66922
33,16,20957
33,17,446090
33,18,85829
33,19,757702
33,20,468799
33,21,1633
33,22,304645
33,23,42918655
33,24,6718919
33,25,828940
34,1,0
34,2,2
34,3,15
34,4,35
34,5,47
34,6,36
34,7,110
34,8,86
34,9,390
34,10,2369
34,11,1810
34,12,3164
34,13,1759
34,14,16642
34,15,1785
34,16,153531
