Run,Streak Target,Flips Required
22,8,223
22,9,837
22,10,640
22,11,84
22,12,4850
22,13,2346
22,14,8767
22,15,65978
22,16,208649
22,17,328833
22,18,861869
22,19,1659070
22,20,1180152
23,1,0
23,2,1
23,3,4
23,4,15
23,5,13
23,6,98
23,7,25
23,8,257
23,9,296
23,10,97
23,11,2756
23,12,979
23,13,714
23,14,33275
23,15,20241
23,16,10170
23,17,57243
23,18,48037
23,19,936216
23,20,1762928
24,1,0
24,2,2
24,3,2
24,4,19
24,5,6
24,6,23
24,7,118
24,8,148
24,9,236
24,10,1374
24,11,21
24,12,1922
24,13,1632
24,14,43869
24,15,30734
24,16,652
24,17,2549
24,18,40509
24,19,1395666
24,20,1254157
25,1,0
25,2,2
25,3,2
25,4,3
25,5,76
25,6,15
25,7,456
25,8,307
25,9,809
25,10,810
25,11,1509
25,12,239
25,13,14497
25,14,6981
25,15,62012
25,16,2073
25,17,141000
25,18,770477
25,19,822370
25,20,1828946
26,1,0
26,2,1
26,3,3
26,4,7
26,5,8
26,6,266
26,7,50
26,8,379
26,9,123
26,10,475
26,11,897
26,12,5871
26,13,4384
26,14,2395
26,15,21277
26,16,1504
26,17,371365
26,18,509183
26,19,164351
26,20,1655467
27,1,0
27,2,1
27,3,3
27,4,4
27,5,4
27,6,17
27,7,249
27,8,28
27,9,105
27,10,43
27,11,3330
27,12,7033
27,13,4993
27,14,54444
27,15,1958
27,16,46968
27,17,9544
27,18,4688
27,19,54578
27,20,3219882
28,1,0
28,2,2
28,3,16
28,4,28
28,5,32
28,6,144
28,7,86
28,8,103
28,9,1134
28,10,156
28,11,1787
28,12,7847
28,13,4540
28,14,4281
28,15,56584
28,16,91491
28,17,102411
28,18,38356
28,19,49074
28,20,1820214
29,1,0
29,2,2
29,3,2
29,4,5
29,5,18
29,6,186
29,7,20
29,8,180
29,9,1281
29,10,314
29,11,1801
29,12,507
29,13,12600
29,14,16393
29,15,26946
29,16,61069
29,17,84637
29,18,76811
29,19,905715
29,20,3428518
30,1,0
30,2,1
30,3,4
30,4,21
30,5,42
30,6,102
30,7,68
30,8,604
30,9,102
30,10,989
30,11,960
30,12,1300
30,13,1907
30,14,4376
30,15,33323
30,16,222712
30,17,95689
30,18,199709
30,19,444360
30,20,649150
31,1,0
31,2,1
31,3,7
31,4,7
31,5,12
31,6,178
31,7,37
31,8,40
31,9,336
31,10,1439
31,11,3400
31,12,1757
31,13,4994
31,14,5526
31,15,39349
31,16,12935
31,17,68952
31,18,140344
31,19,33497
31,20,1977185
32,1,0
32,2,1
32,3,10
32,4,36
32,5,27
32,6,301
32,7,52
32,8,19
32,9,114
32,10,935
32,11,1079
32,12,2045
32,13,6755
32,14,33940
32,15,17683
32,16,5882
32,17,205147
32,18,128540
32,19,982207
32,20,353285
33,1,0
33,2,1
33,3,22
33,4,4
33,5,4
33,6,212
33,7,176
33,8,154
33,9,75
33,10,385
33,11,458
33,12,182
33,13,8310
33,14,17947
33,15,1568
33,16,132662
33,17,274488
33,18,238041
33,19,522562
33,20,1835286
34,1,0
34,2,3
34,3,23
34,4,3
34,5,50
34,6,181
34,7,264
34,8,540
34,9,599
34,10,36
34,11,3611
34,12,3892
34,13,4201
34,14,34105
34,15,14462
34,16,55897
34,17,135707
34,18,1287203
34,19,1132737
34,20,2177636
35,1,0
35,2,3
35,3,12
35,4,5
35,5,34
35,6,41
35,7,23
35,8,323
35,9,2055
35,10,34
35,11,2287
35,12,2980
35,13,2170
35,14,607
35,15,29483
35,16,28595
35,17,156879
35,18,37422
35,19,32235
35,20,495009
36,1,0
36,2,1
36,3,4
36,4,63
36,5,15
36,6,19
36,7,14
36,8,553
36,9,1922
36,10,461
36,11,2381
36,12,551
36,13,535
36,14,16179
36,15,92022
36,16,9032
36,17,210284
36,18,24633
36,19,24866
36,20,307382
37,1,0
37,2,3
37,3,15
37,4,16
37,5,56
37,6,5
37,7,537
37,8,301
37,9,720
37,10,485
37,11,1100
37,12,5180
37,13,4870
37,14,95
37,15,46257
37,16,32839
37,17,260872
37,18,20978
37,19,1347947
37,20,299728
38,1,0
38,2,1
38,3,2
38,4,15
38,5,12
38,6,12
38,7,69
38,8,853
38,9,209
38,10,454
38,11,948
38,12,8447
38,13,2313
38,14,4227
38,15,20922
38,16,252024
38,17,59528
38,18,7154
38,19,193335
38,20,352404
39,1,0
39,2,2
39,3,9
39,4,6
39,5,55
39,6,25
39,7,14
39,8,73
39,9,102
39,10,321
39,11,2187
39,12,6420
39,13,2124
39,14,24824
39,15,52758
39,16,70378
39,17,155635
39,18,177096
39,19,157965
39,20,835992
40,1,0
40,2,1
40,3,4
40,4,4
40,5,14
40,6,150
40,7,91
40,8,779
40,9,1816
40,10,222
40,11,3775
40,12,4467
40,13,5204
40,14,22489
40,15,75314
40,16,17472
40,17,118580
40,18,9589
40,19,400598
40,20,5288259
41,1,0
41,2,1
41,3,2
41,4,20
41,5,22
41,6,22
41,7,70
41,8,20
41,9,852
41,10,422
41,11,173
41,12,1913
41,13,7463
41,14,21332
41,15,15669
41,16,14781
41,17,36226
41,18,334111
41,19,209126
41,20,170210
42,1,0
42,2,2
42,3,3
42,4,3
42,5,28
42,6,38
42,7,104
42,8,418
42,9,755
42,10,1305
42,11,2184
42,12,951
42,13,9947
42,14,6556
42,15,7360
42,16,26879
42,17,164477
42,18,161292
42,19,1747904
42,20,829826
43,1,0
43,2,2
43,3,18
43,4,10
43,5,18
43,6,156
43,7,48
43,8,142
43,9,717
43,10,2200
43,11,1433
43,12,19401
43,13,11834
43,14,9456
43,15,34413
43,16,56905
43,17,35037
43,18,681625
43,19,470945
43,20,2734090
44,1,0
44,2,1
44,3,2
44,4,14
44,5,23
44,6,140
44,7,107
44,8,448
44,9,548
44,10,1761
44,11,7207
44,12,410
44,13,3304
44,14,3256
44,15,6328
44,16,6694
44,17,84646
44,18,369278
44,19,3597
44,20,462934
45,1,0
45,2,1
45,3,6
45,4,25
45,5,8
45,6,98
45,7,151
45,8,340
45,9,797
45,10,103
45,11,490
45,12,3656
45,13,6071
45,14,94455
45,15,416
45,16,2014
45,17,132495
45,18,36156
45,19,53508
45,20,616302
46,1,0
46,2,2
46,3,17
46,4,45
46,5,66
46,6,7
46,7,177
46,8,26
46,9,76
46,10,644
46,11,516
46,12,3122
46,13,3364
46,14,6073
46,15,40388
46,16,101914
46,17,44402
46,18,21018
46,19,221934
46,20,213624
47,1,0
47,2,2
47,3,4
47,4,32
47,5,50
47,6,129
47,7,63
47,8,316
47,9,216
47,10,842
47,11,510
47,12,2155
47,13,4569
47,14,2029
47,15,56985
47,16,17652
47,17,72052
47,18,457593
47,19,1447778
47,20,2486368
48,1,0
48,2,2
48,3,3
48,4,9
48,5,4
48,6,17
48,7,114
48,8,171
48,9,533
48,10,2227
48,11,238
48,12,9480
48,13,15349
48,14,38930
48,15,11744
48,16,132326
48,17,58230
48,18,2607
48,19,199044
48,20,66456
49,1,0
49,2,2
49,3,3
49,4,25
49,5,53
49,6,16
49,7,33
49,8,236
49,9,337
