Run,Streak Target,Flips Required
1,1,0
1,2,1
1,3,2
1,4,3
1,5,74
1,6,29
1,7,83
1,8,250
1,9,109
1,10,469
1,11,1093
1,12,5860
1,13,8763
1,14,2970
1,15,40444
1,16,79729
1,17,328736
1,18,259812
1,19,579495
1,20,1767429
2,1,0
2,2,2
2,3,2
2,4,6
2,5,4
2,6,23
2,7,21
2,8,7
2,9,32
2,10,914
2,11,1470
2,12,1653
2,13,16791
2,14,1912
2,15,68132
2,16,60193
2,17,210799
2,18,58050
2,19,80987
2,20,1474823
3,1,0
3,2,1
3,3,12
3,4,8
3,5,19
3,6,76
3,7,167
3,8,209
3,9,188
3,10,1469
3,11,67
3,12,3478
3,13,2145
3,14,48010
3,15,49801
3,16,92277
3,17,44821
3,18,61111
3,19,29423
3,20,473051
4,1,0
4,2,2
4,3,7
4,4,21
4,5,44
4,6,127
4,7,21
4,8,213
4,9,533
4,10,1219
4,11,2787
4,12,4083
4,13,6067
4,14,33833
4,15,19057
4,16,59211
4,17,170632
4,18,214282
4,19,906117
4,20,141133
5,1,0
5,2,2
5,3,5
5,4,21
5,5,120
5,6,18
5,7,30
5,8,150
5,9,1731
5,10,91
5,11,804
5,12,1395
5,13,1211
5,14,29562
5,15,46917
5,16,81069
5,17,19911
5,18,281007
5,19,1589085
5,20,1677631
6,1,0
6,2,4
6,3,3
6,4,3
6,5,40
6,6,204
6,7,618
6,8,124
6,9,238
6,10,1100
6,11,96
6,12,665
6,13,12347
6,14,8970
6,15,120043
6,16,66968
6,17,132024
6,18,79463
6,19,153307
6,20,2218956
7,1,0
7,2,1
7,3,2
7,4,3
7,5,45
7,6,8
7,7,13
7,8,478
7,9,49
7,10,1385
7,11,325
7,12,521
7,13,1290
7,14,7356
7,15,48043
7,16,34860
7,17,44162
7,18,720835
7,19,740767
7,20,1066058
8,1,0
8,2,2
8,3,12
8,4,11
8,5,9
8,6,111
8,7,59
8,8,521
8,9,1487
8,10,96
8,11,3477
8,12,408
8,13,6338
8,14,28696
8,15,54293
8,16,59545
8,17,21498
8,18,20413
8,19,35632
8,20,1054479
9,1,0
9,2,2
9,3,16
9,4,12
9,5,10
9,6,24
9,7,18
9,8,941
9,9,47
9,10,577
9,11,1936
9,12,796
9,13,12916
9,14,28189
9,15,71290
9,16,51195
9,17,2025
9,18,758807
9,19,731309
9,20,180886
10,1,0
10,2,3
10,3,6
10,4,15
10,5,5
10,6,59
10,7,35
10,8,12
10,9,315
10,10,46
10,11,496
10,12,3630
10,13,9502
10,14,5045
10,15,62985
10,16,138642
10,17,109065
10,18,79630
10,19,810602
10,20,374027
11,1,0
11,2,1
11,3,4
11,4,3
11,5,54
11,6,34
11,7,70
11,8,536
11,9,8
11,10,3817
11,11,680
11,12,7742
11,13,1859
11,14,10390
11,15,5362
11,16,5916
11,17,2309
11,18,363120
11,19,615993
11,20,82306
12,1,0
12,2,1
12,3,4
12,4,3
12,5,37
12,6,70
12,7,26
12,8,74
12,9,74
12,10,203
12,11,131
12,12,1003
12,13,6018
12,14,7466
12,15,23617
12,16,89349
12,17,59732
12,18,311347
12,19,1132581
12,20,3181871
13,1,0
13,2,3
13,3,4
13,4,6
13,5,24
13,6,73
13,7,331
13,8,90
13,9,59
13,10,1080
13,11,2591
13,12,1942
13,13,2127
13,14,16155
13,15,18567
13,16,50041
13,17,72472
13,18,168879
13,19,2465296
13,20,1839191
14,1,0
14,2,4
14,3,11
14,4,5
14,5,4
14,6,36
14,7,184
14,8,19
14,9,354
14,10,13
14,11,1770
14,12,10337
14,13,2199
14,14,6683
14,15,14272
14,16,61634
14,17,154115
14,18,72068
14,19,22497
14,20,917489
15,1,0
15,2,1
15,3,12
15,4,8
15,5,9
15,6,74
15,7,6
15,8,13
15,9,1002
15,10,149
15,11,5448
15,12,8567
15,13,3184
15,14,27320
15,15,23332
15,16,2962
15,17,138894
15,18,156811
15,19,1105635
15,20,2292036
16,1,0
16,2,3
16,3,2
16,4,20
16,5,34
16,6,111
16,7,96
16,8,397
16,9,642
16,10,145
16,11,3268
16,12,1129
16,13,11720
16,14,39324
16,15,77803
16,16,3102
16,17,117630
16,18,611422
16,19,222893
16,20,1362638
17,1,0
17,2,1
17,3,5
17,4,20
17,5,75
17,6,66
17,7,117
17,8,113
17,9,415
17,10,1671
17,11,4094
17,12,1307
17,13,16435
17,14,39976
17,15,36542
