Run,Streak Target,Flips Required
1,1,0
1,2,1
1,3,4
1,4,53
1,5,36
1,6,22
1,7,184
1,8,428
1,9,87
1,10,582
1,11,3201
1,12,14586
1,13,6134
1,14,4042
1,15,17726
1,16,117593
1,17,211411
1,18,260662
1,19,582591
1,20,1738855
2,1,0
2,2,1
2,3,4
2,4,19
2,5,13
2,6,65
2,7,9
2,8,283
2,9,707
2,10,132
2,11,3061
2,12,4107
2,13,13316
2,14,15383
2,15,80116
2,16,3987
2,17,93271
2,18,100972
2,19,373355
2,20,1076232
3,1,0
3,2,1
3,3,4
3,4,13
3,5,90
3,6,119
3,7,172
3,8,432
3,9,837
3,10,1346
3,11,1195
3,12,6993
3,13,19353
3,14,856
3,15,5710
3,16,47246
3,17,79938
3,18,53607
3,19,310675
3,20,1468123
4,1,0
4,2,4
4,3,8
4,4,14
4,5,7
4,6,125
4,7,154
4,8,89
4,9,410
4,10,1812
4,11,1560
4,12,2919
4,13,8729
4,14,1159
4,15,1142
4,16,260424
4,17,452307
4,18,346092
4,19,331975
4,20,403386
5,1,0
5,2,1
5,3,11
5,4,27
5,5,38
5,6,35
5,7,121
5,8,572
5,9,127
5,10,307
5,11,2383
5,12,3780
5,13,9459
5,14,1938
5,15,9856
5,16,46843
5,17,58061
5,18,99159
5,19,175425
5,20,2885009
6,1,0
6,2,2
6,3,4
6,4,7
6,5,67
6,6,37
6,7,65
6,8,83
6,9,335
6,10,497
6,11,1057
6,12,1321
6,13,15998
6,14,27949
6,15,79882
6,16,59416
6,17,56770
6,18,143444
6,19,159897
6,20,652428
7,1,0
7,2,8
7,3,2
7,4,23
7,5,81
7,6,19
7,7,369
7,8,354
7,9,1692
7,10,494
7,11,1780
7,12,1445
7,13,4015
7,14,6242
7,15,3197
7,16,126850
7,17,85217
7,18,7106
7,19,746509
7,20,301129
8,1,0
8,2,2
8,3,4
8,4,20
8,5,30
8,6,89
8,7,18
8,8,257
8,9,391
8,10,3234
8,11,233
8,12,2584
8,13,20841
8,14,6109
8,15,7835
8,16,1875
8,17,153389
8,18,448577
8,19,1623724
8,20,1218277
9,1,0
9,2,1
9,3,5
9,4,3
9,5,53
9,6,34
9,7,6
9,8,46
9,9,147
9,10,411
9,11,241
9,12,4261
9,13,1909
9,14,1674
9,15,17326
9,16,22540
9,17,90009
9,18,243109
9,19,209307
9,20,2488880
10,1,0
10,2,3
10,3,11
10,4,41
10,5,32
10,6,47
10,7,227
10,8,786
10,9,24
10,10,1300
10,11,2354
10,12,1197
10,13,4738
10,14,5162
10,15,38515
10,16,12235
10,17,55421
10,18,152565
10,19,219405
10,20,584606
11,1,0
11,2,3
11,3,7
11,4,8
11,5,7
11,6,126
11,7,74
11,8,22
11,9,167
11,10,238
11,11,362
11,12,1055
11,13,31015
11,14,56505
11,15,69168
11,16,119852
11,17,101638
11,18,76761
11,19,28152
11,20,1430276
12,1,0
12,2,2
12,3,5
12,4,9
12,5,19
12,6,26
12,7,108
12,8,113
12,9,94
12,10,2364
12,11,342
12,12,7837
12,13,837
12,14,20305
12,15,9157
12,16,140788
12,17,96998
12,18,161920
12,19,27956
12,20,498285
13,1,0
13,2,2
13,3,5
13,4,3
13,5,23
13,6,10
13,7,58
13,8,228
13,9,904
13,10,594
13,11,260
13,12,8548
13,13,17900
13,14,16736
13,15,26337
13,16,10074
13,17,38943
13,18,185181
13,19,323731
13,20,840333
14,1,0
14,2,1
14,3,2
14,4,20
14,5,12
14,6,141
14,7,131
14,8,98
14,9,305
14,10,21
14,11,392
14,12,10111
14,13,8819
14,14,17255
14,15,39623
14,16,181957
14,17,57808
14,18,162801
14,19,168252
14,20,112111
15,1,0
15,2,2
15,3,4
15,4,16
15,5,11
15,6,27
15,7,202
15,8,121
15,9,2270
15,10,467
15,11,2327
15,12,8006
15,13,470
15,14,9733
15,15,41213
15,16,29126
15,17,132109
15,18,65717
15,19,2257839
15,20,77129
16,1,0
16,2,1
16,3,5
16,4,5
16,5,27
16,6,11
16,7,24
16,8,603
16,9,34
16,10,996
16,11,1891
16,12,8378
16,13,19095
16,14,9035
16,15,23501
16,16,86097
16,17,52789
16,18,74154
16,19,98656
16,20,243975
17,1,0
17,2,1
17,3,7
17,4,6
17,5,18
17,6,6
17,7,55
17,8,28
17,9,59
17,10,964
17,11,1577
17,12,385
17,13,6264
17,14,17101
17,15,25640
17,16,2918
